Name,Price,Rating,Total_Reviews,About,Link
Acer 80 cm (32 inches) V Pro Series HD Ready Smart QLED Google TV with Android 14 (Black) | 16GB Storage | 30W Dolby Audio,"12,499.",4.0 out of 5 stars,"4,264 ratings"," 
 About this item    Resolution: QLED | HD Ready (1366x768) | Refresh Rate: 60 Hertz | 178 Degree wide viewing angle    Connectivity: Dual band Wifi | Bluetooth 5.0 | AV, RF, Ethernet, headphone×1 | HDMI Ports 1.4 x 2 to connect personal computer, laptop, set top box, gaming console | USB 2.0x1 to connect hard drives or other USB device    Sound: 30 Watts Output | High Fidelity Speakers with Dolby Audio | ARC | 5 Sound Modes - Standard, Speech, Music, Stadium, User    Smart TV Features: Google TV with Android 14 | Content Recommendations | Dual Band WiFi | Bluetooth 5.0 | Casting option- Googlecast, Fastcast, Meeting mode | 1.5GB RAM | 16GB Storage | Watchlist | Personal Profile | Kids Profile | Google Assistant | Voice enabled Smart Remote | Hotkeys for Quick Access - Netflix, Prime Video, YouTube, Disney+Hotstar | Quad Core Processor | Screen Saver |    ECO mode | Video calling- Google Meeting and TrueConference | Gamepad    Display: QLED | HD | HDR10 | IFSC | Super Brightness    Warranty Information: 1 year comprehensive warranty on product from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/Acer-inches-Google-Android-Storage/dp/B0D9BYGT8J/ref=sr_1_11?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-11
Xiaomi Smart TV A 80 cm (32) HD Ready Smart Google LED TV L32MA-AIN (Black),"14,490.",4.1 out of 5 stars,"14,552 ratings"," 
 About this item    Resolution: HD Ready 1366 x 768 Pixels | Refresh Rate : 60 Hertz    Connectivity: Dual Band Wi-Fi | 2 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | eARC | Bluetooth 5.0 | Optical | Ethernet    Sound: 20 Watts Output | Dolby Audio | DTS Virtual : X    Smart TV Features: Google TV | In-Built WiFi | Screen Mirroring | 1.5 GB RAM | 8 GB ROM | Supported Apps: Netflix, Prime Video, YouTube etc.| Voice Control ,Google Assistant Operation    Display: HD Ready | Vivid Picture Engine | ALLM    Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/Xiaomi-Smart-Ready-Google-L32MA-AIN/dp/B0D25MMHH2/ref=sr_1_12?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-12
TCL 101 cm (40 inches) Metallic Bezel-Less Full HD Smart Android LED TV 40L4B (Black),"15,990.",3.8 out of 5 stars,"6,303 ratings"," 
 About this item    Resolution: Full HD (1920 x 1080) | Refresh Rate: 60 Hertz    Connectivity: 2 HDMI Ports to connect set top box, Blu Ray players, gaming console | 1 USB Port| 1 Headphone output | Wi-Fi| Bluetooth    Sound: 19 Watts output | Dolby Audio MS12Y    Smart TV Features: HD Ready Android TV |In-Built Wi-Fi | Screen Sharing | 1 GB RAM |8 GB ROM | 64-bit Quad Core Processor |Ai-Clarity|Multi View Mode| T-Screen |In-Built Apps: Netflix, Prime Video, Disney+Hotstar    Display:FHD LED Panel | 178 Degree Wide Viewing Angle | AiPQ Engine | HDR 10 |Micro Dimming | Bezel-Less Design    Warranty Information: 2 Year provided by the manufacturer from date of purchase    
 ›  See more product details   ",https://www.amazon.in/TCL-Mettalic-Bezel-Less-Android-40L4B/dp/B0CZ6QF29Y/ref=sr_1_13?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-13
Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),"24,990.",4.1 out of 5 stars,"11,911 ratings"," 
 About this item    Resolution: Full HD (1920x1080) | Refresh Rate: 50 Hertz    Connectivity Options: 2 HDMI ports for seamless connectivity with external Devices like Laptop/PCs/Gaming Console/Home Theater/Set-Top Box | 1 X USB-A port to connect with Hard Drives and other USB-compatible devices | Wi-Fi | 1 Ethernet (LAN) Port | 1 Digital Audio Out (Optical) Port | 1 Composite In (AV) | 1 RF In (Terrestrial) | HDMI A / Return Ch. Support | HDMI Quick Switch    Sound features: 20 Watts Powerful output | Dolby Digital Plus | 2CH Speaker Type | Multiroom Link    Display: Hyper Real Picture Engine | HDR (High Dynamic Range) | 178 Degree Viewing Angle | Mega Contrast | Contrast Enhancer | PurColor | 1000 PQI | Micro Dimming Pro | Contrast Enhancer | Film Mode | Natural Mode Support    Smart TV Features: Web Browser | WiFi Direct | SmartThings App Support | Screen Mirroring | TV Key | Connect Share (HDD) | ConnectShare (USB 2.0) | Game Mode | USB HID Support | Teletext (TTX) | IPv6 Support | 1.5 GB RAM | 8 GB ROM    
 ›  See more product details   ",https://www.amazon.in/Samsung-Inches-Smart-UA43T5450AKXXL-Black/dp/B0BFFHGML2/ref=sr_1_14?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-14
Samsung 108 cm (43 inches) D Series Crystal 4K Vivid Pro Ultra HD Smart LED TV UA43DUE77AKLXL (Black),"32,990.",4.0 out of 5 stars,"4,368 ratings"," 
 About this item    Resolution: 4K Ultra HD (3840 x 2160) Resolution |Refresh Rate : 50 Hertz    Connectivity : 3 Hdmi Ports For Seamless Connectivity With External Devices | 1 X Usb-A Usb Ports To Connect Hard Drives Or Other Usb Devices |Wi-Fi | Bluetooth | Anynet+ (Hdmi-Cec)| Ethernet (Lan) Port| Rf In (Terrestrial / Cable Input / Satellite Input)    Sound: 20W Output- 2CH | Powerful Speakers with Q-Symphony    Smart TV Features : Bixby | Web Browser | SmartThings Hub / Matter Hub / IoT-Sensor FuntionalityApple AirPlay | Daily+    Display: Crystal Processor 4K | HDR | Support | Mega Contrast | UHD Dimming | Contrast Enhancer | Motion Xcelerator | 4K Upscaling | Filmmaker Mode    Warranty Information :1 Year Standard Warranty + 1 Year additional warranty on Panel from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI0MzE5MzAxNzc3NDg6MTczODY0ODYzMzpzcF9tdGY6MzAwNDU3NTk2NTY0ODMyOjowOjo&url=%2FSamsung-inches-Crystal-Vivid-UA43DUE77AKLXL%2Fdp%2FB0CX5DW4WT%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q%26dib_tag%3Dse%26keywords%3Dtv%26qid%3D1738648633%26s%3Delectronics%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
LG 139 cm (55 inches) QNED-75 Year 2024 Edition 4K Ultra HD (3840x2160) Smart WebOS QNED TV 55QNED75SRA (Black),"69,990.",3.8 out of 5 stars,32 ratings," 
 About this item    Resolution: 4K Ultra HD (3840x2160) | Refresh Rate: 60 hertz    Connectivity: Wi-Fi (Built-in) | 4 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | eARC | Bluetooth 5.0 | Optical | Ethernet    Sound: 20 Watts Output | 2.0 Ch Speaker | Dolby Digital | AI Sound Pro (Virtual Surround 5.1.2 up-mix) | Auto Volume Levelling | Bluetooth Surround Ready    Smart TV Features: WebOS Smart TV, User Profiles, Picture Wizard, Quick Cards, Magic Remote Control | ThinQ AI (Wi-Fi) | Built-in Alexa, Works with Hey Google, Apple Airplay 2 & Homekit | HGIG Mode, Game Optimizer, ALLM (Auto Low Latency Mode) | Filmmaker Mode, USB Camera Compatible, Intelligent Voice Recognition, Family Settings | α5 AI Processor 4K Gen6 | HDR 10 |1.5 GB RAM + 8 GB Storage | Unlimited OTT App Support: Netflix, Prime Video, Disney+ Hotstar, Apple TV, Jio Cinema, SonyLIV, MxPlayer, Discovery+, Zee5, Voot, YuppTV, Youtube    Display: 4K Ultra HD QNED Display | Local Dimming | QNED Color | AI Brightness & 4K Up-scaling | Dynamic Tone Mapping | Filmmaker Mode    Warranty Information: 1-Year LG India Standard Warranty on Product from the date of purchase (T&C Apply)    
 ›  See more product details   ",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI0MzE5MzAxNzc3NDg6MTczODY0ODYzMzpzcF9tdGY6MzAwMzM3OTM2ODEzODMyOjowOjo&url=%2FLG-inches-QNED-75-3840x2160-55QNED75SRA%2Fdp%2FB0D4DQDC98%2Fref%3Dsr_1_16_sspa%3Fdib%3DeyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q%26dib_tag%3Dse%26keywords%3Dtv%26qid%3D1738648633%26s%3Delectronics%26sr%3D1-16-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"13,990.",4.2 out of 5 stars,"17,392 ratings"," 
 About this item    Resolution: HD Ready (1366x768) | Refresh Rate: 50 hertz    Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices    Sound output: 10 Watts Output I 2 Speakers | DTS Virtual:X | Sound Type : Down Firing    Smart TV Features: Web OS Smart TV | Wi-Fi | Home Dashboard | Screen Mirroring | Mini TV Browser | Multi-Tasking | Office 365, Set WXHXD (with Stand ) mm - 739 x 472 x 168    Display: Active HDR | Display Type: Flat | BackLight Module: Slim LED    Warranty Information: 1-Year LG India Standard Warranty on Product from the date of purchase (T&C Apply)    
 ›  See more product details   ",https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_17?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-17
Acer 100 cm (40 inches) I Pro Series Full HD Smart LED Google TV AR40FDIGU2841AT (Black),"16,499.",3.6 out of 5 stars,"1,063 ratings"," 
 About this item    Resolution : Full HD (1920 x 1080)| Refresh Rate : 60 Hertz | 178 Degree wide viewing angle    Connectivity: Dual band Wifi | Bluetooth 5.0 | AV, RF, Ethernet, headphone×1 | HDMI Ports 1.4 x 2 to connect personal computer, laptop, set top box, gaming console | USB 2.0x1 to connect hard drives or other USB device    Sound: 30 Watts Output | High Fidelity Speakers with Dolby Audio | 5 Sound Modes - Standard, Speech, Music, Stadium, User    Smart TV Features: Google TV with Android 14 | Content Recommendations | Dual Band WiFi | Bluetooth 5.0 | Casting option- Googlecast, Fastcast, Meeting mode | 1.5GB RAM | 16GB Storage | Watchlist | Personal Profile | Kids Profile | Google Assistant | Voice enabled Smart Remote | Hotkeys for Quick Access - Netflix, Prime Video, YouTube, Disney+Hotstar | Quad Core Processor | Screen Saver |    ECO mode | Video calling- Google Meeting and TrueConference | Gamepad    Display: FHD | HDR10 | IFSC    Warranty Information: 1 year comprehensive warranty on product from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/Acer-inches-Smart-Google-AR40FDIGU2841AT/dp/B0D9BXZJHM/ref=sr_1_18?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-18
VW 60 cm (24 inches) Premium Series HD Ready LED TV VW24A (Black),"4,999.",3.8 out of 5 stars,"7,614 ratings"," 
 About this item    Resolution: HD Ready (1366 x 768) | Refresh Rate: 60 hertz | Viewing angle: 178 degree    Connectivity: 1 HDMI ports to connect set top box, Blue Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices    Sound : 20 Watts Output | In-built Box Speakers    Display: A+ Grade Panel | IPE technology | True colour | Wide Viewing Angle    Warranty Information: 1 year warranty provided by Visio World from date of purchase    
 ›  See more product details   ",https://www.amazon.in/Visio-World-inches-VW24A-Ready/dp/B07MDRGHWQ/ref=sr_1_19?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-19
Xiaomi 108 cm (43 inches) A Pro 4K Dolby Vision Smart Google TV L43MA-AUIN (Black),"24,999.",4.0 out of 5 stars,"4,409 ratings"," 
 About this item    Resolution : 4K Ultra HD (3840 x 2160) | Refresh Rate : 60 Hertz    Connectivity: Dual Band Wi-Fi | 3 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | ALLM | eARC | Bluetooth 5.0 | Optical | Ethernet    Sound: 30 Watts Output | Dolby Audio | DTS-X | DTS Virtual: X    Smart TV Features: Google TV | In-Built WiFi | Screen Mirroring | 2GB RAM | 8GB ROM | Supported Apps: Netflix, Prime Video, YouTube, Disney+Hotstar, etc. | Google Assistant    Display: 4K HDR | Dolby Vision |HDR10 | HLG | Reality Flow MEMC | Vivid Picture Engine| ALLM    Warranty Information: 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase    
 ›  See more product details   ",https://www.amazon.in/Xiaomi-inches-Vision-Google-L43MA-AUIN/dp/B0DBRL1SYQ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.4sQeGz5_WQq8PrwGa8mMqoum7DuqGcTReMhR86lkkqa9Qe4_r1LeWDu-XN6aoE4_d0qqn2iL9wRQmMCuYhP9NoWaP3sEsGhOs3tkrhCMC4Zrb4Qxqjxxddhk-GfPEUtyNLWlf-l9nb2aa-apnjz8awxSJ2d2JVRu_a2FVooYvNvEOdnDmbR9QZY_2Q1aNDr_xm1Ncl-KdDRkVojVNK0R9nd0lriXziNFj0qpC97h3UlkFveys-v3iSmmgW7LDMlsWeiqdzJ3NQFcQmmxvDCoWgXGMyS-O1KOV3VbZX7aAtw.DfN2S4oqs5jKK4NztmxdyIT_8o0Erxj91pk5NfW9p3Q&dib_tag=se&keywords=tv&qid=1738648633&s=electronics&sr=1-20
